trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.2, 'e': 0.18999999999999928}",20,0,5.640526806012204,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.2, 'e': 0.18499999999999928}",20,4,1.2487060660975304,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.17999999999999927}",30,18,12.801710667043896,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.17499999999999927}",25,0,9.602517282083568,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.2, 'e': 0.16999999999999926}",25,18,10.706538701350304,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.16499999999999926}",20,15,8.118462213907621,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.15999999999999925}",20,12,14.934282682312519,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.15499999999999925}",20,6,20.4471844996118,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.14999999999999925}",30,2,32.84662963593821,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.14499999999999924}",25,16,15.16742302138914,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.13999999999999924}",20,4,26.031098148300046,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.13499999999999923}",25,10,9.593658477314012,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.12999999999999923}",20,14,11.192500418201192,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.12499999999999922}",35,18,20.85538249834523,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.11999999999999922}",20,4,-5.237025197117485,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.11499999999999921}",20,1,33.236350428856596,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.10999999999999921}",30,16,-14.908097956851112,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.2, 'e': 0.1049999999999992}",30,20,2.524351770187891,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.0999999999999992}",25,13,5.6988232042463345,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.0949999999999992}",25,15,8.15133577650512,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.08999999999999919}",20,8,-18.93604043560079,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.2, 'e': 0.08499999999999919}",25,18,13.14572793222578,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
